p cnf 49 73
1	2	3	0
	-2	-3	0
	2		0
1	4	5	0
	-4	-5	0
	4		0
1	6	7	0
	-6	-7	0
	6		0
1	8	9	0
	-8	-9	0
	8		0
1	10	11	0
	10	11	0
	-10		0
1	12	13	0
	12	13	0
	-12		0
1	14	15	0
	14	15	0
	-14		0
1	16	17	0
	16	17	0
	-16		0
1	18	19	0
	18	19	0
	-18		0
1	20	21	0
	-20	-21	0
	20		0
1	22	23	0
	-22	-23	0
	22		0
1	24	25	0
	-24	-25	0
	24		0
1	26	27	0
	-26	-27	0
	26		0
1	28	29	0
	-28	-29	0
	28		0
1	30	31	0
	-30	-31	0
	30		0
1	32	33	0
	-32	-33	0
	32		0
1	34	35	0
	-34	-35	0
	34		0
1	36	37	0
	-36	-37	0
	36		0
1	38	39	0
	-38	-39	0
	38		0
1	40	41	0
	-40	-41	0
	40		0
1	42	43	0
	-42	-43	0
	42		0
1	44	45	0
	-44	-45	0
	44		0
1	46	47	0
	-46	-47	0
	46		0
1	48	49	0
	-48	-49	0
	48		0
-1			0
